1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.04.13	1040	11.28	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.04.13	1040	52.3	NA
1010085138&&dee23ce7-6f4d-56bb-944e-14242ddba204	2016.04.19	0293	115.53	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.01.07	1114	57.85	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.01.13	1114	14.19	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.02.04	1114	207.41	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.02.04	1114	31.69	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.02.08	1114	55.82	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.02.24	1114	90.01	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.02.28	1114	41.72	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.03.01	1114	88.86	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.03.10	1114	82.75	NA
1010091448&&ef55bd62-288f-503d-b6fd-44e9fb7710a1	2016.03.22	1114	25.71	NA
1010099446&&7204cffd-d43d-5e4d-9162-fc7c096fe92b	2016.02.22	1051	26.4	NA
1010099446&&7204cffd-d43d-5e4d-9162-fc7c096fe92b	2016.02.24	1051	7.9	NA
1010099446&&7204cffd-d43d-5e4d-9162-fc7c096fe92b	2016.02.27	1051	16.42	NA
1010099446&&7204cffd-d43d-5e4d-9162-fc7c096fe92b	2016.03.01	1051	110.01	NA
1010099446&&7204cffd-d43d-5e4d-9162-fc7c096fe92b	2016.03.06	1114	5.97	NA
1010099446&&7204cffd-d43d-5e4d-9162-fc7c096fe92b	2016.03.19	1051	94.87	NA
1010101604&&4d1381e8-fc28-5ec4-9d5f-3b3003e7fb71	2016.01.06	1579	1.99	NA
1010101604&&4d1381e8-fc28-5ec4-9d5f-3b3003e7fb71	2016.01.06	1579	1.99	NA
1010101604&&4d1381e8-fc28-5ec4-9d5f-3b3003e7fb71	2016.01.06	1579	1.99	NA
1010101604&&4d1381e8-fc28-5ec4-9d5f-3b3003e7fb71	2016.01.06	1579	1.99	NA
1010101604&&4d1381e8-fc28-5ec4-9d5f-3b3003e7fb71	2016.01.06	1579	6.41	NA
1010101604&&4d1381e8-fc28-5ec4-9d5f-3b3003e7fb71	2016.01.22	1579	26.52	NA
1010101604&&4d1381e8-fc28-5ec4-9d5f-3b3003e7fb71	2016.01.29	1579	1.77	NA
1010101604&&4d1381e8-fc28-5ec4-9d5f-3b3003e7fb71	2016.02.10	1579	22.54	NA
